fighter1,fighter2,winner,weight_class,method,round,time,fight_url,event_name,event_date,event_location
Mateusz Gamrot,Ludovit Klein,Mateusz Gamrot,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/212527d462690304,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA"
Ramiz Brahimaj,Billy Ray Goff,Ramiz Brahimaj,Welterweight,SUBGuillotine Choke,1,3:16,http://ufcstats.com/fight-details/305d8c85b35a7d4e,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA"
Dustin Jacoby,Bruno Lopes,Dustin Jacoby,Light Heavyweight,KO/TKOPunch,1,1:50,http://ufcstats.com/fight-details/7aaa810540132a4b,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA"
Ketlen Vieira,Macy Chiasson,Ketlen Vieira,Women's Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/106918bfbe24335d,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA"
Zachary Reese,Dusko Todorovic,Zachary Reese,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ad68450307a21ab1,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA"
Allan Nascimento,Jafel Filho,Allan Nascimento,Flyweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/baa2ee0bf7f97079,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA"
Jordan Leavitt,Kurt Holobaugh,Jordan Leavitt,Lightweight,SUBAnaconda Choke,1,1:39,http://ufcstats.com/fight-details/2521fed000747f47,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA"
Bolaji Oki,Michael Aswell,Bolaji Oki,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/ae89ba793121fe0c,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA"
Alice Ardelean,Rayanne dos Santos,Alice Ardelean,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/73240bea13ed5e71,UFC Fight Night: Blanchfield vs. Barber,"May 31, 2025","Las Vegas, Nevada, USA"
Michael Morales,Gilbert Burns,Michael Morales,Welterweight,KO/TKOPunches,1,3:39,http://ufcstats.com/fight-details/a81ad236a2f221f2,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA"
Mairon Santos,Sodiq Yusuff,Mairon Santos,Lightweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/dcb27eef6441268c,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA"
Nursulton Ruziboev,Dustin Stoltzfus,Nursulton Ruziboev,Middleweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/b3044bf646306e7f,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA"
Melquizael Costa,Julian Erosa,Melquizael Costa,Featherweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/fe2acfdaaaec3dba,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA"
Gabe Green,Matheus Camilo,Gabe Green,Lightweight,SUBRear Naked Choke,2,3:43,http://ufcstats.com/fight-details/a9a6cca4bbf7a5db,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA"
Jared Gordon,Thiago Moises,Jared Gordon,Lightweight,KO/TKOPunch,1,3:37,http://ufcstats.com/fight-details/8ba31cf0b3164b72,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA"
Yadier del Valle,Connor Matthews,Yadier del Valle,Featherweight,SUBRear Naked Choke,1,2:54,http://ufcstats.com/fight-details/d6e2bc6e6c0cc4fe,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA"
Luana Santos,Tainara Lisboa,Luana Santos,Women's Bantamweight,SUBKeylock,2,4:59,http://ufcstats.com/fight-details/f75fe8b384b0db11,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA"
Denise Gomes,Elise Reed,Denise Gomes,Women's Strawweight,KO/TKOPunches,2,0:30,http://ufcstats.com/fight-details/66887532be2de5ee,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA"
HyunSung Park,Carlos Hernandez,HyunSung Park,Flyweight,SUBRear Naked Choke,1,2:26,http://ufcstats.com/fight-details/18a7dc86279066f8,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA"
Tecia Pennington,Luana Pinheiro,Tecia Pennington,Women's Strawweight,U-DEC,3,5:00,http://ufcstats.com/fight-details/afdd95ae7b7cdb0c,UFC Fight Night: Burns vs. Morales,"May 17, 2025","Las Vegas, Nevada, USA"
